,session_name,ensemble_id,neuron_id
17,hamilton_13,3,1143
18,hamilton_13,3,1144
19,hamilton_13,3,1145
20,hamilton_13,3,1149
21,hamilton_13,3,1150
22,hamilton_13,3,1152
23,hamilton_13,3,1154
26,hamilton_23,5,1250
27,hamilton_23,5,1251
28,hamilton_23,5,1255
29,hamilton_23,5,1263
30,hamilton_23,5,1264
31,hamilton_23,5,1265
32,hamilton_23,5,1266
33,hamilton_23,5,1272
34,hamilton_23,5,1274
35,hamilton_23,5,1276
36,hamilton_23,5,1283
37,hamilton_23,5,1285
38,hamilton_23,5,1287
39,hamilton_23,5,1289
40,hamilton_23,5,1292
41,hamilton_23,5,1299
42,hamilton_23,5,1301
43,hamilton_23,5,1302
44,hamilton_23,5,1303
45,hamilton_23,5,1304
46,hamilton_23,5,1305
47,hamilton_23,5,1314
48,hamilton_23,5,1317
49,hamilton_23,5,1318
50,hamilton_23,5,1319
51,hamilton_23,5,1322
52,hamilton_23,5,1328
53,hamilton_23,5,1329
54,hamilton_23,5,1333
55,hamilton_23,5,1334
56,hamilton_23,5,1336
57,hamilton_23,5,1341
58,hamilton_23,5,1342
59,hamilton_23,5,1343
60,hamilton_23,5,1344
61,hamilton_23,5,1345
62,hamilton_23,5,1347
63,hamilton_23,5,1349
64,hamilton_23,6,1261
65,hamilton_23,6,1267
66,hamilton_23,6,1269
67,hamilton_23,6,1270
68,hamilton_23,6,1273
69,hamilton_23,6,1277
70,hamilton_23,6,1280
71,hamilton_23,6,1284
72,hamilton_23,6,1294
73,hamilton_23,6,1312
74,hamilton_23,6,1315
75,hamilton_23,6,1316
76,hamilton_23,6,1320
77,hamilton_23,6,1321
78,hamilton_23,6,1330
79,hamilton_23,6,1331
80,hamilton_23,6,1332
81,hamilton_23,6,1338
82,hamilton_23,6,1339
121,hamilton_07,8,1357
122,hamilton_07,8,1363
123,hamilton_07,8,1366
124,hamilton_07,8,1378
125,hamilton_07,8,1394
126,hamilton_07,8,1396
127,hamilton_07,8,1405
128,hamilton_07,8,1412
129,hamilton_08,9,1416
130,hamilton_08,9,1417
131,hamilton_08,9,1426
132,hamilton_08,9,1430
133,hamilton_08,9,1435
134,hamilton_08,9,1443
135,hamilton_08,9,1446
136,hamilton_08,9,1448
137,hamilton_08,9,1452
138,hamilton_08,9,1455
139,hamilton_08,9,1459
140,hamilton_08,9,1460
141,hamilton_08,9,1461
142,hamilton_08,9,1463
143,hamilton_08,9,1465
144,hamilton_08,9,1470
145,hamilton_08,9,1474
146,hamilton_08,9,1475
147,hamilton_08,9,1476
148,hamilton_08,9,1479
149,hamilton_08,9,1480
150,hamilton_08,9,1483
151,hamilton_08,9,1485
152,hamilton_08,9,1486
153,hamilton_08,9,1489
154,hamilton_08,9,1490
166,hamilton_08,11,1437
167,hamilton_08,11,1439
168,hamilton_08,11,1442
169,hamilton_08,11,1469
170,hamilton_08,11,1471
194,hamilton_19,13,1493
195,hamilton_19,13,1500
196,hamilton_19,13,1501
197,hamilton_19,13,1507
198,hamilton_19,13,1511
199,hamilton_19,13,1513
200,hamilton_19,13,1516
201,hamilton_19,13,1517
202,hamilton_19,13,1519
203,hamilton_19,13,1521
204,hamilton_19,13,1523
205,hamilton_19,13,1525
206,hamilton_19,13,1533
207,hamilton_19,13,1534
208,hamilton_19,13,1535
209,hamilton_19,13,1537
210,hamilton_19,13,1538
211,hamilton_19,13,1541
212,hamilton_19,13,1542
213,hamilton_19,13,1543
214,hamilton_19,13,1551
215,hamilton_20,14,1558
216,hamilton_20,14,1559
217,hamilton_20,14,1564
218,hamilton_20,14,1569
219,hamilton_20,14,1572
220,hamilton_20,14,1573
221,hamilton_20,14,1574
222,hamilton_20,14,1578
223,hamilton_20,14,1579
224,hamilton_20,14,1580
225,hamilton_20,14,1584
226,hamilton_20,14,1589
227,hamilton_20,14,1590
228,hamilton_20,14,1592
229,hamilton_20,14,1598
230,hamilton_20,14,1602
231,hamilton_20,14,1603
232,hamilton_20,14,1604
233,hamilton_20,14,1605
234,hamilton_20,14,1606
235,hamilton_20,14,1609
