,neuron_1,neuron_2,value,neuron_combination,p,p_adj,session_name,block,n1_cluster,n2_cluster,comb,group
36,1069,1082,0.1692237246329069,1069_1082,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
37,1070,1082,0.23032595647756665,1070_1082,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
38,1071,1082,-0.06740554388484865,1071_1082,0.206,0.29290625,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
39,1072,1082,0.020370268523099276,1072_1082,1.214,1.3310120481927712,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
40,1074,1082,0.32996901047719795,1074_1082,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
41,1075,1082,0.10595726474824244,1075_1082,0.026,0.042249999999999996,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
42,1076,1082,0.012985680096318782,1076_1082,1.498,1.585093023255814,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
43,1078,1082,0.030157399298079916,1078_1082,0.946,1.0627901234567902,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
44,1079,1082,0.017355791991189324,1079_1082,1.334,1.428164705882353,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
45,1069,1084,0.3683996372680541,1069_1084,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
46,1070,1084,0.44746763648866156,1070_1084,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
47,1071,1084,-0.038587125798336924,1071_1084,0.684,0.7878987341772152,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
48,1072,1084,-0.04456735795253094,1072_1084,0.544,0.642909090909091,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
49,1074,1084,0.4742300971504577,1074_1084,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
50,1075,1084,0.3365508706369465,1075_1084,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
51,1076,1084,-0.00217353995298404,1076_1084,1.902,1.902,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
52,1078,1084,0.11777483422695711,1078_1084,0.01,0.016545454545454547,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
53,1079,1084,0.20639794956497634,1079_1084,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
54,1082,1084,0.22801747689528107,1082_1084,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
55,1069,1085,0.25655478103266816,1069_1085,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
56,1070,1085,0.24446158538310822,1070_1085,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
57,1071,1085,0.14932016222043915,1071_1085,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
58,1072,1085,-0.08330634836659312,1072_1085,0.078,0.11829999999999999,hamilton_01,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
59,1074,1085,0.23303699809521392,1074_1085,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
60,1075,1085,-0.17747227855542919,1075_1085,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
61,1076,1085,0.10929096784571085,1076_1085,0.028,0.044701754385964916,hamilton_01,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
62,1078,1085,-0.30085060983141904,1078_1085,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
63,1079,1085,-0.2868526623682319,1079_1085,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
64,1082,1085,0.18532482558591326,1082_1085,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
65,1084,1085,0.175887523676304,1084_1085,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
66,1069,1086,-0.3059855217593475,1069_1086,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
67,1070,1086,-0.4523067418096264,1070_1086,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
68,1071,1086,0.0854113068341727,1071_1086,0.082,0.12232786885245903,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
69,1072,1086,0.15752648807641675,1072_1086,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
70,1074,1086,-0.5082686940503645,1074_1086,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
71,1075,1086,-0.28632382746918367,1075_1086,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
72,1076,1086,-0.051718294659663884,1076_1086,0.468,0.5833972602739727,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
73,1078,1086,-0.15297014456628633,1078_1086,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
74,1079,1086,-0.11857272770294348,1079_1086,0.006,0.0105,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
75,1082,1086,-0.2924933817132971,1082_1086,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
76,1084,1086,-0.3782454050056148,1084_1086,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
77,1085,1086,-0.18688275229615703,1085_1086,0.0,0.0,hamilton_01,baseline,slow_regular,slow_irregular,slow_irregular-slow_regular,sal
78,1069,1087,-0.12048436438583798,1069_1087,0.008,0.013735849056603775,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
79,1070,1087,-0.1810668776750862,1070_1087,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
80,1071,1087,0.046905887237182184,1071_1087,0.46,0.5813888888888888,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
81,1072,1087,0.0556776168231347,1072_1087,0.356,0.4764117647058823,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
82,1074,1087,-0.26241436039423366,1074_1087,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
83,1075,1087,-0.1353881086422412,1075_1087,0.004,0.007137254901960785,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
84,1076,1087,-0.04551902112251195,1076_1087,0.51,0.6188,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
85,1078,1087,-0.04771890028675037,1078_1087,0.48,0.5902702702702703,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
