,session_name,ensemble_id,neuron_id
212,hamilton_19,12,1550
240,hamilton_20,14,1557
241,hamilton_20,14,1558
242,hamilton_20,14,1567
243,hamilton_20,14,1568
244,hamilton_20,14,1574
245,hamilton_20,14,1575
246,hamilton_20,14,1577
247,hamilton_20,14,1578
248,hamilton_20,14,1579
249,hamilton_20,14,1580
250,hamilton_20,14,1581
251,hamilton_20,14,1586
252,hamilton_20,14,1593
253,hamilton_20,14,1595
254,hamilton_20,14,1596
255,hamilton_20,14,1603
256,hamilton_20,14,1605
257,hamilton_20,14,1606
258,hamilton_20,14,1611
